id	name	category
mediadive.medium:1	NUTRIENT AGAR	biolink:ChemicalEntity
mediadive.solution:1	Main sol. 1	biolink:ChemicalEntity
CAS-RN:73049-73-7	Peptone	biolink:ChemicalEntity
mediadive.ingredient:2	Meat extract	biolink:ChemicalEntity
CHEBI:2509	Agar	biolink:ChemicalEntity
CHEBI:15377	Distilled water	biolink:ChemicalEntity
mediadive.medium:1a	REACTIVATION WITH LIQUID MEDIUM 1	biolink:ChemicalEntity
mediadive.solution:3	Main sol. 1a	biolink:ChemicalEntity
CAS-RN:73049-73-7	Peptone	biolink:ChemicalEntity
mediadive.ingredient:2	Meat extract	biolink:ChemicalEntity
CHEBI:2509	Agar	biolink:ChemicalEntity
CHEBI:15377	Distilled water	biolink:ChemicalEntity
mediadive.medium:2	BACILLUS PASTEURII MEDIUM	biolink:ChemicalEntity
mediadive.solution:4	Main sol. 2	biolink:ChemicalEntity
mediadive.solution:1	Main sol. 1	biolink:ChemicalEntity
mediadive.solution:1	Main sol. 1	biolink:ChemicalEntity
CHEBI:16199	Urea	biolink:ChemicalEntity
CAS-RN:73049-73-7	Peptone	biolink:ChemicalEntity
mediadive.ingredient:2	Meat extract	biolink:ChemicalEntity
CHEBI:2509	Agar	biolink:ChemicalEntity
CHEBI:15377	Distilled water	biolink:ChemicalEntity
mediadive.medium:3	AZOTOBACTER MEDIUM	biolink:ChemicalEntity
mediadive.solution:5	Main sol. 3	biolink:ChemicalEntity
CHEBI:17234	Glucose	biolink:ChemicalEntity
CHEBI:29864	Mannitol	biolink:ChemicalEntity
CHEBI:86158	CaCl2 x 2 H2O	biolink:ChemicalEntity
CHEBI:31795	MgSO4 x 7 H2O	biolink:ChemicalEntity
CHEBI:75213	Na2MoO4 x 2 H2O	biolink:ChemicalEntity
CHEBI:131527	K2HPO4	biolink:ChemicalEntity
CHEBI:63036	KH2PO4	biolink:ChemicalEntity
CHEBI:75836	FeSO4 x 7 H2O	biolink:ChemicalEntity
CHEBI:3311	CaCO3	biolink:ChemicalEntity
CHEBI:2509	Agar	biolink:ChemicalEntity
CHEBI:15377	Distilled water	biolink:ChemicalEntity
mediadive.medium:6	ALLANTOIN MINERAL MEDIUM	biolink:ChemicalEntity
mediadive.solution:6	Main sol. 6	biolink:ChemicalEntity
CHEBI:131527	K2HPO4	biolink:ChemicalEntity
CHEBI:63036	KH2PO4	biolink:ChemicalEntity
CHEBI:31795	MgSO4 x 7 H2O	biolink:ChemicalEntity
CHEBI:86158	CaCl2 x 2 H2O	biolink:ChemicalEntity
CHEBI:75836	FeSO4 x 7 H2O	biolink:ChemicalEntity
CHEBI:86364	MnSO4 x H2O	biolink:ChemicalEntity
CHEBI:15676	Allantoin	biolink:ChemicalEntity
CHEBI:2509	Agar	biolink:ChemicalEntity
CHEBI:15377	Distilled water	biolink:ChemicalEntity
mediadive.medium:7	ANCYLOBACTER - SPIROSOMA MEDIUM	biolink:ChemicalEntity
mediadive.solution:7	Main sol. 7	biolink:ChemicalEntity
CHEBI:17234	Glucose	biolink:ChemicalEntity
CAS-RN:73049-73-7	Peptone	biolink:ChemicalEntity
CAS-RN:8013-01-2	Yeast extract	biolink:ChemicalEntity
CHEBI:2509	Agar	biolink:ChemicalEntity
CHEBI:15377	Distilled water	biolink:ChemicalEntity
mediadive.medium:8	"BACILLUS ""RACEMILACTICUS"" MEDIUM"	biolink:ChemicalEntity
mediadive.solution:8	Main sol. 8	biolink:ChemicalEntity
CHEBI:17234	Glucose	biolink:ChemicalEntity
CAS-RN:73049-73-7	Peptone	biolink:ChemicalEntity
CAS-RN:8013-01-2	Yeast extract	biolink:ChemicalEntity
CHEBI:3311	CaCO3	biolink:ChemicalEntity
CHEBI:2509	Agar	biolink:ChemicalEntity
CHEBI:15377	Distilled water	biolink:ChemicalEntity
mediadive.medium:9	VY/2 AGAR	biolink:ChemicalEntity
mediadive.solution:9	Main sol. 9	biolink:ChemicalEntity
